player_id,coins_earned
57973,500
50902,500
46567,500
47234,500
46567,500
46567,500
50902,500
46567,500
52650,500
50902,500
52650,500
51386,500
50902,500
52650,500
50079,500
56321,500
48176,500
52650,500
50902,500
41968,450
52650,500
56321,500
41968,450
48176,500
41968,450
49346,500
51091,500
48176,500
41968,450
56321,500
57056,500
49346,500
51091,500
49346,500
57056,500
48176,500
51091,500
49264,500
49346,500
57056,500
56321,500
50928,500
50928,500
51091,500
49346,500
57056,500
50376,500
48176,500
31177,500
57973,500
50928,500
31084,500
50928,500
50928,500
31084,500
59315,500
59315,500
46562,500
46562,500
46562,500
46562,500
46562,500
44847,500
59259,500
23578,500
46567,500
47554,500
44684,500
45483,500
47554,500
44684,500
45483,500
47554,500
23578,500
23578,500
59426,0
23578,500
58516,0
59315,500
59315,500
59315,500
59426,0
37761,500
44547,0
59315,500
59315,500
59430,200
59287,0
46569,450
59315,500
36690,500
55200,200
41968,450
59147,0
59287,0
47554,500
58886,500
58886,500
53123,500
50948,500
59315,500
59315,500
33473,0
23578,500
23578,500
59315,500
55200,200
50079,0
23578,500
59315,500
55665,0
23578,500
48851,200
59315,500
23578,500
55200,200
39316,260
51091,500
59315,500
59315,500
55200,200
59315,500
37761,500
46569,450
59315,500
36458,500
36458,500
53154,500
53154,500
53154,500
49346,500
56321,500
56321,500
53154,500
56321,500
56321,500
51091,500
56321,500
51091,500
51091,500
51091,500
49346,500
59315,500
51091,500
49346,500
49346,500
59367,500
56530,500
44684,500
44684,500
56530,500
44684,500
36039,500
56530,500
44684,500
36039,500
56530,500
44684,500
42364,500
54029,500
36039,500
53224,500
53600,500
34604,500
53600,500
34604,500
34604,500
53600,500
34604,500
53600,500
46945,500
34604,500
46945,500
53600,500
34604,500
46945,500
46945,500
46945,500
34604,500
59367,500
59367,500
44225,200
49949,0
41968,450
41968,450
41968,450
41968,450
59367,500
59315,500
59357,0
59367,500
44225,200
59315,500
37761,500
59367,500
44225,200
59387,0
59259,0
59315,500
59315,500
48321,500
44225,200
44225,200
59315,500
59315,500
59315,500
59315,500
59315,500
59315,500
59367,500
56321,500
59367,500
59367,500
37761,500
59315,500
53123,500
59315,500
59315,500
50557,500
53123,500
50557,500
55154,500
53123,500
50557,500
53123,500
50557,500
50557,500
57056,500
57056,500
59267,500
57056,500
56321,500
56321,500
59267,500
56321,500
51091,500
51091,500
56321,500
51091,500
56321,500
51091,500
52650,500
51091,500
52650,500
44522,500
52650,500
44522,500
52650,500
44522,500
52650,500
44522,500
44522,500
58519,500
58519,500
37744,500
58519,500
58519,500
53154,500
53154,500
53154,500
53154,500
53154,500
32003,500
41154,500
59315,500
57590,500
57590,500
57590,500
55154,500
57590,500
57590,500
41968,450
50650,500
41968,450
48688,500
50650,500
50650,500
50650,500
51463,0
59367,500
59134,500
59367,500
28879,0
37608,500
59367,500
58886,500
37608,500
37761,500
50188,500
29412,500
58886,500
53154,500
58886,500
58886,500
59367,500
59432,200
57056,500
58700,500
37608,500
58876,500
58876,500
58876,500
58876,500
56321,500
56321,500
56321,500
56321,500
51091,500
56321,500
51091,500
51091,500
51091,500
57056,500
57056,500
51091,500
57056,500
57056,500
57056,500
50557,500
50557,500
50557,500
58876,500
50557,500
58876,500
37335,500
50557,500
37335,500
37335,500
37335,500
44522,500
44522,500
37335,500
44522,500
53600,500
44522,500
44522,500
53600,500
53600,500
53600,500
53600,500
49964,500
49964,500
49964,500
49964,500
59275,500
56530,500
59275,500
56530,500
56530,500
59275,500
56530,500
59433,200
56530,500
59275,500
58579,500
58579,500
58579,500
58579,500
58579,500
55561,500
48769,500
48769,500
48769,500
48769,500
48769,500
59275,500
58967,500
28573,200
58886,500
57590,215
53154,500
8133,260
55322,500
58886,500
41968,450
41968,450
59430,500
58717,500
59433,500
58886,500
58886,500
35912,0
48321,450
59367,500
58717,500
58717,500
37608,260
37608,260
47309,500
57056,500
57056,500
56321,500
53757,500
51091,500
57056,500
56321,500
51091,500
53757,500
57056,500
56321,500
51091,500
59292,500
53757,500
56321,500
51091,500
53757,500
51091,500
56321,500
48769,500
53757,500
57360,500
59292,500
58886,500
48769,500
48769,500
48510,500
48510,500
48510,500
48510,500
59395,500
56318,500
56318,500
30368,500
56318,500
30368,500
30368,500
30368,500
30368,500
49784,500
59267,500
59267,500
59267,500
19547,215
53820,500
19547,215
53820,500
19547,215
53820,500
19547,215
37761,500
19547,215
53820,500
19547,215
53820,500
51091,500
58579,500
58579,500
58579,500
59275,500
58112,500
58717,500
52254,200
54231,500
48321,0
59069,500
59069,500
58717,500
53109,215
53109,215
53109,215
53109,215
59395,500
53109,215
59069,500
59069,500
45937,215
58717,500
30562,500
45937,215
30562,500
30562,500
30562,500
53109,215
30562,500
39316,500
30562,500
45937,215
30562,500
45937,215
58717,500
59069,500
53109,215
30562,500
30562,500
39316,500
25738,500
30562,500
37761,500
30562,500
30562,500
53109,215
30562,500
39316,500
51091,500
30562,500
58372,500
30562,500
30562,500
30562,500
39316,500
30562,500
30562,500
39316,500
30562,500
30562,500
59395,500
39316,500
30562,500
30562,500
55019,200
30562,500
30562,500
39316,500
30562,500
30562,500
30562,500
47309,0
53109,215
59069,500
29675,500
44150,215
44150,215
44150,215
53109,215
44150,215
29675,500
29675,500
25738,500
53109,215
45937,215
52254,200
45937,215
53109,215
58007,215
58007,215
58007,215
58007,215
55019,200
58007,215
59395,500
59395,500
53109,215
45937,215
54653,215
39316,500
54653,215
54653,215
54653,215
52254,200
29675,500
44150,215
54653,215
53109,215
29675,500
45937,215
44150,215
45937,215
44150,215
44150,215
53109,215
29675,500
56321,500
56321,500
56321,500
57056,500
56321,500
25738,500
57056,500
56321,500
57056,500
57056,500
54231,500
55019,200
57056,500
59395,500
54231,500
39316,500
53109,215
29675,500
54231,500
54231,500
54231,500
41968,450
41968,450
41968,450
53109,215
41968,450
54653,215
41968,450
39316,500
29675,500
37761,500
53109,215
45937,215
39316,500
45937,215
41968,450
41968,450
29675,500
41968,450
45937,215
53109,215
41968,450
25738,500
41968,450
44150,215
41968,450
53820,500
39316,500
53820,500
52802,215
53820,500
51025,500
53820,500
51025,500
53820,500
29675,500
54653,215
51025,500
54653,215
44150,215
39316,500
53109,215
29675,500
59069,500
59069,500
39316,500
29675,500
47433,500
44150,215
58928,500
53109,215
39316,500
54653,215
25738,500
29675,500
54653,215
55019,200
59395,500
39316,500
53109,215
44150,500
30562,500
30562,500
29675,500
30562,500
59069,500
57590,215
57590,215
57590,215
53109,215
57590,215
39316,500
45937,215
54944,500
45937,215
29675,500
35548,215
25738,500
54944,500
53109,215
35548,215
47227,500
39316,500
47227,500
54653,215
47227,500
54653,215
54653,215
47227,500
59069,500
53109,215
30562,500
30562,500
57590,215
44150,500
29675,500
52254,200
47433,500
48097,500
35548,215
48097,500
39316,500
48097,500
48097,500
53109,215
35548,215
48097,500
57590,215
45937,215
41968,110
44150,215
29675,500
55019,200
39316,500
44150,215
25738,500
54653,215
58519,500
53109,215
30562,500
57590,215
39316,500
49784,500
53109,215
35548,215
59069,500
47227,500
52254,200
47227,500
29675,500
57590,215
45937,215
39316,500
53109,215
57590,215
47433,500
37608,500
37608,500
54653,215
37608,500
54653,215
25738,500
29675,500
44150,215
54845,500
39316,500
44150,215
48097,500
47227,500
48097,500
29675,500
54653,215
39316,500
57590,215
45937,215
35548,215
29675,500
37608,500
39316,500
45937,215
59069,500
47227,500
48097,500
47227,500
48097,500
48097,500
52254,200
44150,215
37608,500
39316,500
44150,215
54653,215
37608,500
29675,500
54653,215
59069,500
45937,215
37608,500
39316,500
55019,200
37608,500
29675,500
59069,500
37608,500
48097,500
47227,500
39316,500
48097,500
47227,500
45937,215
48097,500
47227,500
47227,500
29675,500
37608,500
25738,500
37608,500
52254,0
39316,500
57590,215
57590,215
57590,215
57590,215
37608,500
57590,215
29675,500
45937,215
44150,215
37761,500
37608,500
54653,215
39316,500
48097,500
47227,500
29675,500
48097,500
47227,500
37608,500
47227,500
48097,500
37608,500
44150,215
45937,215
44150,215
39316,500
37608,500
29675,500
54653,215
37608,500
54653,215
48097,500
47227,500
29675,500
37608,500
45937,215
39316,500
37608,500
29675,500
37608,500
54653,215
25738,500
54653,215
41968,450
41968,450
48097,500
41968,450
39316,500
41968,450
47227,500
57590,215
37608,500
48097,500
47227,500
41968,450
57590,215
35548,215
48097,500
47227,500
57590,215
45937,215
57590,215
37608,500
57590,215
29675,500
39316,500
37608,500
54653,215
54653,215
45937,215
44150,215
58717,500
58717,500
29675,500
39316,500
37608,500
56514,215
35548,215
56514,215
56514,215
35548,215
37608,500
56514,215
44150,215
48097,500
47227,500
29675,500
47227,500
47687,215
54653,215
48097,500
47227,500
47687,215
47227,500
47687,215
54653,215
44150,215
37608,500
29675,500
45937,215
37608,500
53710,215
54653,215
53710,215
29675,500
53710,215
37608,500
53710,215
39316,500
45937,215
37608,500
58717,500
58717,500
48097,500
57590,215
29675,500
47227,500
48097,500
37608,500
55520,500
57590,215
39316,500
48097,500
47227,500
57590,215
47227,500
57590,215
44150,215
37608,500
54653,215
56514,215
54653,215
29675,500
41968,450
35548,215
37608,500
41968,450
45937,215
41968,450
41968,450
41968,450
37608,500
56514,215
29675,500
44150,215
37608,500
54653,215
54653,215
35548,215
48097,500
37608,500
56514,215
39316,500
29675,500
47620,450
53710,215
37608,500
53710,215
48097,500
53710,215
47227,500
47227,500
39316,500
37608,500
29675,500
59367,500
45937,215
29412,500
29412,500
7053,500
29412,500
29412,500
37608,500
29412,500
29412,500
29412,500
39316,500
54653,215
29412,500
29675,500
29412,500
54653,215
37608,500
29412,500
35548,215
53710,215
48097,500
47227,500
53710,215
47227,500
47227,500
48097,500
39316,500
56514,215
45937,215
35548,215
29675,500
51025,500
51025,500
37608,500
51025,500
51025,500
39316,500
51025,500
56514,215
53122,500
54653,215
53122,500
54944,500
53122,500
53820,500
37608,500
54653,215
59367,500
29675,500
53820,500
53122,500
47227,500
53820,500
53820,500
54944,500
35548,215
53820,500
37608,500
41968,450
54944,500
45937,215
56514,215
54944,500
53710,215
37608,500
53710,215
57590,215
48097,500
54944,500
53710,215
57590,215
29675,500
35548,215
57590,215
57590,215
37608,500
44150,215
57590,215
58717,500
54653,215
39316,500
48097,500
37608,500
54653,215
56514,215
35548,215
29675,500
37608,500
45937,215
59367,500
47227,500
48097,500
47227,500
39316,500
44150,215
37608,500
45627,500
58372,500
37608,500
35548,215
58372,500
29675,500
58372,500
48097,500
58372,500
35911,450
37608,500
54653,215
54653,215
45937,215
47227,500
47227,500
45316,500
37608,500
45316,500
44150,215
35548,215
44150,215
37608,500
29675,500
53710,215
37608,500
48097,500
47227,500
35911,450
56514,215
35548,215
37608,500
45937,215
26765,450
59367,500
44150,215
48097,500
37608,500
26765,260
58007,215
59367,500
56514,215
35911,450
58007,215
39316,500
35548,215
37608,500
53710,215
53710,215
47227,500
48097,500
47227,500
53710,215
37608,500
45937,215
39316,500
56514,215
35911,450
29675,500
57590,215
37608,500
57590,215
57590,215
58007,215
39316,500
48097,500
29675,500
56514,215
37608,500
45937,215
56318,500
37608,500
35911,450
53710,215
58007,215
56514,215
58007,215
48097,500
47227,500
29675,500
37608,500
47227,500
35548,215
53710,215
35911,450
37608,500
29675,500
56514,215
45937,215
37608,500
48097,500
59367,500
29675,500
58007,215
37608,500
56514,215
53710,215
35548,215
37608,500
29675,500
58007,215
45937,215
47227,500
48097,500
44150,215
35911,450
58007,215
47227,500
56514,215
37608,500
35548,215
31019,500
29675,500
37608,500
48097,500
31019,500
56514,215
35548,215
31019,500
31019,500
53710,215
35911,450
37608,500
53710,215
35911,450
56514,215
29675,500
47227,500
47227,500
35548,215
57590,215
57590,215
57590,215
57590,215
53710,215
53710,215
55019,200
35911,450
44150,215
59263,500
37608,500
29675,500
47227,500
47227,500
44150,215
58007,215
53710,215
47620,450
56514,215
56514,215
58007,215
35911,450
44150,215
31019,500
47227,500
37608,500
29675,500
48097,500
47227,500
31019,500
45937,215
47227,500
35911,450
37608,500
50455,215
50455,215
55019,200
50455,215
50455,215
56514,215
50455,215
37608,500
44150,215
58007,215
35911,450
53710,215
58007,215
53710,215
29675,500
53710,215
53710,215
35911,450
37608,500
44150,215
59328,500
37608,500
35911,450
45937,215
47227,500
44150,215
55019,200
59328,500
59328,500
37608,500
35911,450
47227,500
47227,500
37608,500
35911,450
37608,500
48097,500
40590,500
35911,450
55019,200
37608,500
31019,500
40590,500
31019,500
31019,500
47227,500
29675,500
47227,500
35911,450
40590,500
40174,500
48097,500
47227,500
29675,500
35911,450
40590,500
29675,500
35911,450
37608,500
40590,500
37608,500
29675,500
48097,500
35911,450
40590,500
47227,500
47227,500
37608,500
47227,500
29675,500
40590,500
37608,500
35911,450
37608,500
40590,500
35911,450
40590,500
37608,500
29675,500
31019,500
48097,500
47620,450
31019,500
37608,500
35911,450
40590,500
47227,500
29675,500
47227,500
47227,500
35911,450
40590,500
35911,450
48097,500
29675,500
37608,500
35911,450
55520,500
37608,500
48097,500
37608,500
47227,500
40590,500
47227,500
35911,450
29675,500
37608,500
36039,500
35911,450
37608,500
40590,500
40590,500
58717,500
40590,500
40590,500
58717,500
49240,500
58717,500
49240,500
49240,500
51025,500
40174,500
51025,500
49240,500
51025,500
51025,500
37608,500
55520,500
29675,500
51025,500
58717,500
40174,500
37608,500
37608,500
29412,500
29412,500
37608,500
29412,500
29412,500
29412,500
29412,500
29412,500
36039,500
29412,500
29412,500
29412,500
29412,500
29412,500
37608,500
29412,500
29412,500
55520,500
58700,500
54845,500
54845,500
40174,500
59367,500
58007,215
29675,500
37608,500
37608,500
40174,500
37608,500
29675,500
40590,500
59275,500
58717,500
37608,500
59275,500
40590,500
29675,500
29675,500
40590,500
47620,450
29675,500
40590,500
29675,500
29675,500
58717,500
58717,500
29675,500
29675,500
58717,500
29675,500
29675,500
29675,500
29675,500
29675,500
29675,500
29675,500
59395,500
59395,500
29675,500
29675,500
29675,500
25175,500
25175,500
25175,500
25175,500
25175,500
48183,500
48183,500
48183,500
48183,500
25175,500
25175,500
54084,500
54845,500
25175,500
54845,500
54845,500
54845,500
25175,500
29412,500
25175,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
25175,500
58372,500
49000,500
58372,500
49000,500
58372,500
49240,500
49000,500
25175,500
51025,500
51025,500
51025,500
51025,500
51025,500
25175,500
25175,500
25175,500
25175,500
25175,500
57590,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
25175,500
50877,500
50877,500
50877,500
50877,500
50877,500
49649,500
49649,500
54084,500
50094,500
50094,500
50094,500
50094,500
50094,500
25175,500
58372,500
25175,500
34505,500
34505,500
34505,500
34505,500
25175,500
25175,500
25175,500
29412,500
29412,500
29412,500
54845,500
54845,500
54845,500
25175,500
56318,500
56318,500
56318,500
56318,500
25175,500
40178,500
51025,500
44522,500
51025,500
51025,500
44522,500
51025,500
25175,500
40178,500
25175,500
40178,500
25175,500
40178,500
25175,500
40178,500
48120,0
58700,500
25175,500
25175,500
40178,500
25175,500
40178,500
25175,500
41418,500
40590,500
25175,500
40178,500
40590,500
25175,500
41418,500
40178,500
41418,500
25175,500
40590,500
58700,500
40178,500
41418,500
40590,500
40178,500
41418,500
56178,0
40590,500
53933,500
41418,500
40178,500
41418,500
40590,500
40178,500
58700,500
41418,500
40178,500
40590,500
25175,500
41418,500
25175,500
40178,500
58700,500
50877,500
41418,500
40590,500
40178,500
41418,500
40178,500
25175,500
58700,500
40178,500
25175,500
25175,500
58700,500
25175,500
25175,500
25175,500
58700,500
25175,500
25175,500
53933,500
44521,500
53933,500
44521,500
58700,500
25175,500
40174,500
54084,500
58700,500
25175,500
41418,500
40174,500
58700,500
25175,500
40590,500
49649,500
40910,500
49649,500
40910,500
40910,500
40910,500
29412,500
40590,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
29412,500
25175,500
29412,500
29412,500
40590,500
58410,500
5801,500
5801,500
48120,500
5801,500
5801,500
25175,500
40590,500
54845,500
54845,500
54845,500
53933,500
54845,500
58700,500
46567,500
50188,500
58700,500
30562,500
50188,500
58700,500
30562,500
50188,500
50188,500
50188,500
50188,500
50188,500
53710,500
58007,500
50188,500
58700,500
50188,500
50188,500
50188,500
50188,500
50188,500
50188,500
58700,500
5801,500
29964,500
50188,500
50188,500
5801,500
50188,500
45673,500
45673,500
50188,500
58700,500
40590,500
50188,500
5801,500
50188,500
40590,500
50188,500
58700,500
40590,500
54084,500
55810,500
55810,500
50188,500
55810,500
55810,500
55810,500
40590,500
50188,500
53933,500
53933,500
50188,500
40590,500
51580,500
58700,500
48120,500
50188,500
45673,500
48120,260
50188,500
40590,500
50188,500
40590,500
50188,500
37741,500
58700,500
37741,500
37741,500
37741,500
37741,500
50188,500
40590,500
50188,500
50094,215
40590,500
50094,500
50094,500
53109,450
50094,500
56153,500
58700,500
50094,500
50188,500
53109,215
53710,500
53710,500
53710,500
53710,500
50188,500
52745,500
52745,500
49321,500
52745,500
52745,500
52745,500
45673,500
50188,500
53109,500
50188,500
48098,500
48098,500
50188,500
50188,500
58700,500
50188,500
50188,500
58700,500
29412,200
5801,500
58700,500
50188,500
5801,500
50188,500
58700,500
58948,0
58700,500
50188,500
5801,500
58700,500
50188,500
50188,500
58700,500
5801,500
54084,500
59438,200
50188,500
58700,500
50188,500
5801,500
50188,500
50188,500
5801,500
58700,500
50188,500
50188,500
58700,500
50188,500
5801,500
50188,500
50188,500
5801,500
50188,500
50188,500
5801,500
53039,500
53039,500
53039,500
53039,500
59134,500
49075,500
59134,500
49075,500
49075,500
59134,500
49075,500
59134,500
49075,500
5801,500
54057,500
54057,500
54057,500
54057,500
37677,500
54057,500
54084,500
37677,500
37677,500
37677,500
48421,500
45673,500
45673,500
45673,500
58862,500
58862,500
58862,500
55810,500
58862,500
55810,500
34505,500
49075,500
34505,500
55810,500
34505,500
5801,500
5801,500
59134,500
59134,500
45673,500
59134,500
5801,500
59134,500
59134,500
32996,500
32996,500
32996,500
40174,500
40174,500
40174,500
40174,500
57973,500
59134,500
59134,500
53039,500
59134,500
53039,500
40174,500
40174,500
59134,500
40174,500
40174,500
40174,500
40174,500
59134,500
59419,200
40174,500
40174,500
40174,500
59134,500
59134,500
44849,450
59134,500
44849,450
44849,450
59134,500
59134,500
44849,450
44849,450
59134,500
44849,260
50533,190
59134,500
58007,500
48025,0
49784,500
50376,500
50376,500
50376,500
50376,500
50376,500
29412,500
29412,500
49240,500
29412,500
29412,500
29412,500
29412,500
57590,500
57590,500
57590,500
45673,500
57590,500
45673,500
45673,500
47446,500
45673,500
47446,500
47446,500
58861,500
53039,500
58861,500
53345,500
53345,500
53345,500
53345,500
58861,500
53039,500
58861,500
58181,500
44849,260
46762,500
20260,500
58861,500
49784,500
32996,500
58181,500
32996,500
32996,500
32996,500
32996,500
32996,500
32996,500
49884,500
20260,500
32996,500
49884,500
49884,500
32996,500
49884,500
32996,500
44684,500
32996,500
49884,500
32996,500
32996,500
20260,500
44684,500
32996,500
47674,500
51996,500
39445,500
32996,500
44849,260
47674,500
44684,500
44849,260
32996,500
44849,260
47674,500
32996,500
44849,260
53109,500
44684,500
32996,500
47674,500
53109,500
32996,500
20260,500
32996,500
32996,500
32996,500
32996,500
32996,500
32996,500
20260,500
32996,500
32996,500
32996,500
32996,500
32996,500
20260,500
32996,500
32996,500
32996,500
32996,500
32996,500
32996,500
44849,260
44849,260
32996,500
44849,260
32996,500
58717,500
32996,500
32996,500
58717,500
58717,500
20260,500
58112,500
58717,500
20260,500
40174,500
58112,500
46048,500
41418,500
46048,500
40174,500
46048,500
48183,500
46048,500
58717,500
46048,500
45673,500
41418,500
12938,260
40174,500
46048,500
40174,500
41418,500
40174,500
46048,500
40174,500
50188,500
46048,500
40174,500
58112,500
58112,500
46048,500
41418,500
50188,500
40174,500
20260,500
40174,500
46048,500
45673,500
20260,500
46048,500
20260,500
41418,500
58112,500
46048,500
20260,500
20260,500
46048,500
20260,500
40174,500
46048,500
54312,0
20260,500
58112,500
58717,500
40174,500
49075,500
20260,500
20260,500
40174,500
46048,500
40174,500
20260,500
46048,500
40174,500
41418,500
46048,500
20260,500
58717,500
58112,500
41418,500
20260,500
49993,500
20260,500
49993,500
46048,500
40174,500
41418,500
49993,500
54312,0
49993,500
49993,500
54312,0
40174,500
20260,500
46048,500
41418,500
40174,500
46048,500
40174,500
41418,500
20260,500
58717,500
40174,500
46048,500
40174,500
41418,500
20260,500
49993,500
46048,500
40174,500
40174,500
25175,500
46048,500
40174,500
20260,500
49993,500
40174,500
46048,500
58717,500
52446,500
40174,500
41418,500
52446,500
52446,500
46048,500
52446,500
53600,500
52446,500
53880,500
25175,500
53600,500
49993,500
25175,500
53880,500
52268,500
53880,500
53600,500
48183,500
49784,500
48183,500
57655,500
53600,500
48183,500
46048,500
55279,500
40174,500
58717,500
55279,500
53345,500
41418,500
53345,500
47446,500
53345,500
25175,500
53345,500
47446,500
46048,500
49993,500
47446,500
40174,500
58112,500
46048,500
37677,500
37677,500
52096,0
41418,500
20260,500
47350,500
51232,500
47350,500
40174,500
47350,500
46048,500
51232,500
51232,500
51232,500
41418,500
34505,500
58856,500
34505,500
58856,500
58856,500
34505,500
46048,500
45673,500
20260,500
40174,500
46048,500
41418,500
58112,500
49993,500
58112,500
49993,500
46048,500
41418,500
20260,500
40174,500
46048,500
41418,500
46048,500
35911,450
40174,500
46048,500
35911,450
52096,0
58112,500
46048,500
41418,500
58112,500
20260,500
40174,500
35911,450
49993,500
46048,500
40178,500
41418,500
35911,450
49993,500
58717,500
46048,500
58856,500
50376,500
40174,500
25175,500
40178,500
35911,450
49993,500
41418,500
46048,500
58948,500
25175,500
35911,450
25175,500
53345,500
40178,500
49993,500
41418,500
46048,500
35911,450
25175,500
40178,500
49993,500
58717,500
41418,500
35911,450
58112,500
46048,500
40178,500
25175,500
49993,500
40178,500
50272,500
35911,450
46048,500
41418,500
25175,500
35911,450
40178,500
35911,450
46048,500
41418,500
38311,500
49993,500
52096,0
50272,500
52315,0
40178,500
38311,500
49993,500
41418,500
50272,500
35911,450
46048,500
40178,500
38311,500
50272,500
46048,500
41418,500
49993,500
58112,500
35911,450
58112,500
38311,500
50272,500
49993,500
46048,500
41418,500
40178,500
38311,500
50272,500
35911,450
46048,500
41418,500
49993,500
50272,500
40178,500
46048,500
35911,450
41418,500
49993,500
40178,500
50272,500
46048,500
35911,450
41418,500
59048,500
49993,500
38311,500
40178,500
42654,500
52315,0
46048,500
59048,500
58717,500
58717,500
35911,450
41418,500
40178,500
49993,500
38311,500
35911,450
46048,500
58717,500
41418,500
38311,500
42654,500
49993,500
40178,500
35911,450
46048,500
58717,500
38311,500
41418,500
49993,500
35911,450
58717,500
46048,500
38311,500
14106,500
14106,500
14106,500
14106,500
41418,500
14106,500
46048,500
49993,500
40178,500
35911,450
41418,500
49993,500
46048,500
35911,450
41418,500
53345,500
49993,500
40178,500
46048,500
35911,450
58112,500
41418,500
46048,500
49993,500
51163,0
20260,500
40178,500
35911,450
41418,500
53880,500
40178,500
53880,500
53880,500
49993,500
53345,500
53345,500
53880,500
53345,500
53880,500
53345,500
55007,500
35911,450
55007,500
53109,500
55007,500
58112,500
55007,500
49993,500
35911,450
48510,500
48510,500
48510,500
40178,500
48510,500
48510,500
45673,500
45673,500
45673,500
57299,500
45673,500
57299,500
35911,450
57299,500
57299,500
57299,500
53345,500
53125,500
40178,500
50948,500
53125,500
20260,500
35911,450
53125,500
44087,500
53125,500
49075,500
41418,500
49075,500
49075,500
49075,500
49075,500
40178,500
20260,500
58007,500
35911,450
58007,500
47057,500
58007,500
58007,500
35911,450
29412,500
29412,500
51388,500
51388,500
29412,500
29412,500
29412,500
53345,500
29412,500
40283,500
29412,500
40283,500
29412,500
51388,500
40178,500
35911,450
50640,500
44087,500
36031,500
40174,500
30635,215
35911,450
40178,500
35911,450
56153,500
35911,450
20260,500
35911,450
35911,450
36031,500
45675,500
35911,450
55438,0
35911,450
35911,450
58717,500
57963,500
51163,200
58717,500
35911,450
20260,500
59441,0
35911,450
59395,500
59395,500
35911,450
59395,500
59395,500
59395,500
35911,450
35911,450
51163,200
35911,450
59134,500
59395,500
35911,450
59395,500
59395,500
59441,200
35911,450
59395,500
59441,500
20260,500
51163,200
40178,500
20260,500
35911,450
40178,500
59441,500
35911,450
45633,200
40178,500
51163,200
40178,500
35911,450
50640,500
59395,500
40178,500
30562,500
30562,500
20260,500
30562,500
51163,200
35911,450
40178,500
59395,500
40178,500
35911,450
12938,500
40174,500
40178,500
51163,200
35911,450
40178,500
35911,450
20260,500
58876,500
40178,500
50376,500
50376,500
50376,500
59395,500
47856,500
50376,500
47856,500
50376,500
40174,500
57056,500
57056,500
49346,500
49346,500
57056,500
58821,500
24892,450
49346,500
58821,500
57056,500
35911,450
49346,500
58821,500
57056,500
49346,500
20260,500
58821,500
51996,500
24892,500
14106,500
53345,500
53345,500
40174,500
53345,500
53345,500
53345,500
40178,500
35911,450
44849,260
44849,260
37677,215
37677,500
37677,500
49820,500
37677,500
57513,500
40174,500
49820,500
37677,500
57513,500
58856,500
49820,500
40178,500
58856,500
49820,500
58856,500
49820,500
58856,500
57513,500
14106,500
12938,500
12938,500
40174,500
12938,500
12938,500
12938,500
40178,500
35911,450
59395,500
40174,500
59395,500
37771,1100
35911,450
58876,500
40174,500
40178,500
35911,450
30049,500
30049,500
30049,500
51163,200
40174,500
40178,500
35911,450
59395,500
59395,500
59395,500
53187,500
53187,500
35911,450
51996,500
51163,200
35911,450
51163,200
35911,450
59395,500
