p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives
26233,1,21,489,FALSE,FALSE,TRUE,TRUE,TRUE,31652.26,18,48,49,0,0,0,2,5051,241,0,247,13,26,7226,673,5
1254,2,19,852,FALSE,FALSE,TRUE,TRUE,TRUE,28963.98,21,97,79,0,21,0,4,1911,169,0,77,0,76,6404,905,5
39316,1,36,275,TRUE,TRUE,TRUE,FALSE,TRUE,28549.12,19,57,87,0,2,1,1,2453,268,0,524,7,23,6992,770,5
30049,2,18,412,TRUE,TRUE,FALSE,TRUE,TRUE,28313.9,14,133,69,8,919,0,14,1505,225,0,65,2,97,6434,818,5
36720,1,21,302,FALSE,FALSE,FALSE,FALSE,FALSE,27132.8,29,60,118,0,1,4,15,6569,730,8,363,29,66,10037,1582,5
23518,1,20,561,TRUE,TRUE,TRUE,TRUE,TRUE,26611.58,11,63,82,1,87,2,0,2915,190,1,1257,28,16,6976,542,5
46458,1,23,175,TRUE,TRUE,FALSE,TRUE,TRUE,26472.34,13,54,67,0,32,5,9,4630,681,5,910,13,32,8235,1222,5
47234,1,21,165,TRUE,,TRUE,TRUE,TRUE,26315.26,10,46,25,0,1,6,4,3940,482,0,1973,89,14,7147,798,5
49993,1,21,143,,FALSE,FALSE,TRUE,TRUE,26194.61,13,60,67,1,0,0,1,2681,183,1,211,6,26,6350,538,5
50727,1,20,135,FALSE,FALSE,FALSE,FALSE,TRUE,25300.58,29,21,50,1,0,0,43,3899,650,70,1750,157,146,6088,957,5
51751,2,22,126,FALSE,FALSE,FALSE,FALSE,FALSE,25288.55,15,40,24,1,0,0,7,4385,413,9,1966,149,46,8140,817,5
44239,1,22,212,TRUE,TRUE,FALSE,TRUE,TRUE,25136.31,21,211,146,1,0,6,20,5600,593,0,0,0,59,11277,1409,5
47227,1,18,166,TRUE,TRUE,TRUE,TRUE,TRUE,24331.13,13,62,43,1,3,0,7,2180,292,9,936,43,37,5446,603,5
47350,1,22,164,FALSE,FALSE,FALSE,FALSE,FALSE,24073.3,15,25,30,1,0,0,20,3341,400,10,1629,144,50,5684,679,5
44232,2,31,212,TRUE,TRUE,TRUE,TRUE,TRUE,23538.49,15,144,82,1,1815,0,8,3011,162,14,1108,26,47,7794,711,5
37608,2,23,289,TRUE,TRUE,TRUE,TRUE,TRUE,23440.99,12,82,114,6,850,0,1,2665,217,1,560,19,35,7432,1039,5
50640,2,26,136,TRUE,TRUE,TRUE,TRUE,TRUE,22957.19,14,139,69,0,0,0,3,1833,210,5,1841,31,33,7020,1129,5
